,Place,Pts,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2045-25,2023-24,2022-23,2021-22,2020-21,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12
North Texas,,,185,6.796814426,0.249858,0,1,,,,,,13,,,,,,,,
Northeastern,,,186,6.796790069,0.249857,0,1,,,,,,,13,,,,14,,,
Northern Iowa,,,97,38.68486239,2.562356,2.5,2.75,12,,,,,,,,,11,5,,,
Northern Kentucky,,,161,12.34783101,0.499855,0.25,1.25,,,,16,,,14,,15,,,,,
Northwestern,,,60,59.78994253,6.124854,7,3.5,,,9,7,,,,,8,,,,,
Northwestern State,,,239,0.002801160058,-0.000147,0,0,,,,,,,,,,,,,14,
Notre Dame,,,72,49.75784192,4.124852,2.75,8.25,,,,,11,,,,5,6,3,,7,7
Oakland,,,156,13.59065718,0.562351,0.75,0,,,14,,,,,,,,,,,
Ohio,,,187,6.796619568,0.24985,0,1,,,,,,13,,,,,,,,13
Ohio State,,,42,69.34031384,8.749849,7.25,13.25,8,,,,7,2,11,5,,,10,6,2,2
Oklahoma,,,58,61.09691705,6.437348,3.25,16,,9,,,,8,9,10,,2,3,5,10,
Oklahoma State,,,106,32.81125815,1.937347,0,7.75,,,,,,4,,,10,,9,9,5,
Old Dominion,,,199,5.234812229,0.187346,0,0.75,,,,,,,14,,,,,,,
Ole Miss,,,76,48.23506901,3.874845,4,3.5,,6,,,,,8,,,,11,,12,
Omaha,,,169,9.698369524,0.374844,0.5,0,,15,,,,,,,,,,,,
Oral Roberts,,,105,33.45224987,1.999843,2.5,0.5,,,,12,,15,,,,,,,,
Oregon,,,38,72.83974323,9.937342,7,18.75,,5,11,,,7,12,,3,1,8,7,12,
Oregon State,,,114,28.65275718,1.562341,0,6.25,,,,,,12,,,,7,,,,
Pacific,,,240,0.002405359597,-0.00016,0,0,,,,,,,,,,,,,15,
Penn State,,,80,45.37201158,3.437339,3,4.75,,,,10,,,,4,,,,,,
Pennsylvania,,,153,14.78456951,0.624838,0.75,0.25,14,,,,,,,16,,,,,,
Pittsburgh,,,90,40.74977356,2.812337,2.75,3,,,,11,,,,,,10,,9,8,
Prairie View A&M,,,188,6.796278564,0.249836,0.25,0.25,16,,,,,,16,,,,,,,
Princeton,,,130,21.10662126,0.999835,0.5,2.5,,,,15,,,,,12,,,,,
Providence,,,47,66.4772215,7.874834,7.5,9,,,,11,4,,,10,11,9,6,11,,
Purdue,,,4,99.0584487,24.874833,26.25,20.75,2,4,1,1,3,4,3,2,4,5,9,,,10
Queens,,,170,9.698103804,0.374832,0.5,0,15,,,,,,,,,,,,,
Radford,,,216,1.847952502,0.062331,0,0.25,,,,,,,,16,,,,,,
Rhode Island,,,113,29.38634831,1.62483,0,6.5,,,,,,,,7,11,,,,,
Richmond,,,108,32.15624892,1.874829,2.5,0,,,,,12,,,,,,,,,
Robert Morris,,,171,9.69801523,0.374828,0.5,0,,15,,,,,,,,,16,,,
