,Rank,Value,val,5 Yr Avg,Prior 5 Yr,'2025,'2024,'2023,'2022,'2021,'2019,'2018,'2017,'2016,'2015,'2014,'2013,'2012
UTSA,87,6.529041316,0.187278,0.25,0,1,,,,,,,,,,,0.5,
Valparaiso,237,0.0007217821638,-0.000223,0,0,,,,,,,,,,,,0.5,0.5
Vanderbilt,6,74.09229105,6.031026,4.125,11.75,0.5,0.5,0.5,0.5,15,30,1,1,0.5,15,30,1,0.5
VCU,55,11.22483981,0.343525,0.375,0.25,,0.5,,0.5,0.5,,,,,1,,,
Villanova,238,0.0006078174707,-0.000226,0,0,,,,,,,,,,,,,
Virginia,10,61.84657744,4.093523,2.875,7.75,,3,3,0.5,5,,,0.5,0.5,30,15,1,0.5
Virginia Tech,88,6.528849375,0.187272,0.25,0,,,,1,,,,,,,,0.5,
Wake Forest,18,44.77595383,2.249771,2.875,0.375,0.5,0.5,10,0.5,,,,1,0.5,,,,
Washington,61,10.33080892,0.31227,0.125,0.875,,,0.5,,,,3,,0.5,,0.5,,
Washington State,239,0.0004178755558,-0.000231,0,0,,,,,,,,,,,,,
West Virginia,41,16.1867238,0.531018,0.625,0.25,1,1,0.5,,,0.5,,0.5,,,,,
Western Carolina,195,1.169312874,0.031017,0,0.125,,,,,,,,,0.5,,,,
Western Kentucky,156,3.404544822,0.093516,0.125,0,0.5,,,,,,,,,,,,
Western Michigan,117,4.474683847,0.124765,0.125,0.125,,0.5,,,,,,,0.5,,,,
Wichita State,240,0.0002279326912,-0.000236,0,0,,,,,,,,,,,,0.5,
William & Mary,196,1.169165524,0.031013,0,0.125,,,,,,,,,0.5,,,0.5,
Wofford,157,3.404405892,0.093512,0.125,0,,0.5,,,,,,,,,,,
Wright State,45,14.60345358,0.468511,0.5,0.375,0.5,,0.5,0.5,0.5,,0.5,,0.5,0.5,,,
Xavier,97,5.515369959,0.15601,0.125,0.25,,,0.5,,,,,0.5,0.5,,,,
Yale,197,1.169018173,0.031009,0,0.125,,,,,,,,0.5,,,0.5,,
Youngstown State,241,0,-0.000242,0,0,,,,,,,,,,,0.5,,
