,Rank,Value,val,5 Yr Avg,Prior 5 Yr,'2025,'2024,'2023,'2022,'2021,'2020,'2019,'2018,'2017,'2016,'2015,'2014,'2013,'2012
Texas Christian,25,43.76991438,16.562387,11.25,32.5,37,'25,'35,8,81,37,43,43,16,34,15,9,31,30
Texas State,116,17.36048779,61.062386,42,118.25,65,'48,'70,103,118,114,118,114,127,128,114,94,97,104
Texas Tech,32,40.77947627,19.187385,8.75,50.5,3,'54,'43,32,40,77,54,37,52,59,60,57,28,18
Toledo,62,29.90569568,32.812384,26,53.25,48,'80,'53,76,56,76,114,66,45,26,50,63,60,77
Troy,74,25.71264343,40.374883,32,65.5,87,'96,'26,41,95,72,85,62,65,63,93,117,100,76
Tulane,59,31.30159358,30.624882,17.75,69.25,45,'43,'59,26,89,52,41,90,94,115,109,115,85,118
Tulsa,83,23.83269416,44.312381,37,66.25,104,'128,'114,87,61,39,73,107,103,50,97,116,111,59
UAB,75,25.46395223,40.87488,28,79.5,125,'108,'117,69,43,40,67,75,116,,,83,113,97
UCLA,41,35.10950162,25.374879,15.75,54.25,98,'75,'27,22,41,46,79,76,51,44,16,19,18,24
UNLV,114,18.4204168,57.937378,39.5,113.25,57,'36,'61,101,115,123,120,106,113,114,116,122,90,111
Utah,11,58.33484867,8.124877,4.5,19,8,'40,'32,10,16,22,12,17,25,35,35,38,35,58
Utah State,90,22.69733213,46.874876,39.75,68.25,79,'106,'106,114,80,118,83,21,83,86,76,52,61,38
UTEP,122,15.54516924,66.812375,47.25,125.5,129,'130,'122,98,91,125,127,130,130,120,123,108,118,108
UTSA,86,23.57792284,44.874874,26.25,100.75,62,'64,'48,47,58,93,124,127,80,106,121,82,83,117
Vanderbilt,67,28.74538777,34.749873,22.5,71.5,11,'52,'110,79,122,120,106,39,70,71,84,84,54,41
Virginia,56,32.23134853,29.249872,21.5,52.5,31,'91,'105,95,55,55,44,42,69,83,71,60,82,67
Virginia Tech,70,27.00444309,37.874871,41.5,27,106,'30,'46,96,70,27,38,55,21,22,31,45,26,31
Wake Forest,52,32.8016528,28.43737,20.25,53,52,'93,'96,42,39,82,57,57,31,67,88,96,75,100
Washington,10,58.81568148,7.937369,7,10.75,13,'58,'13,15,83,19,16,14,10,3,40,44,15,49
Washington State,53,32.75720603,28.499868,25.25,38.25,61,'68,'50,44,57,64,28,31,40,54,61,77,50,79
West Virginia,66,28.7817945,34.687367,34.25,36,93,'65,'38,65,72,38,98,24,49,33,27,41,72,45
Western Kentucky,60,30.6114911,31.687366,21.25,63,69,'78,'74,61,24,86,59,113,88,19,37,80,76,81
Western Michigan,88,23.49371421,45.062365,38.5,64.75,78,'105,'121,119,76,62,90,104,78,29,56,73,116,94
Wisconsin,16,51.65811938,11.249864,11.25,11.25,85,'60,'29,38,7,15,11,19,3,16,22,13,11,25
Wyoming,97,20.60249357,51.999863,44.25,75.25,110,'115,'78,100,77,87,66,69,79,95,119,111,104,106
