,,Atleti,Monaco,,Leicester,Dortmund,,Arsenal,PSG,Sevilla,Benfica,,Celta Vigo,Lyon,,,,,Chelsea,Southampton,,Barcelona,Dortmund,Juventus,PSG
,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,,MADRID,ATLETI,,Wolfsburg,Barcelona,,Roma,PSV Eindhoven,Dynamo Kyiv,Juventus,,SEVILLA,LIVERPOOL,,,,,MAN UNITED,MAN CITY,,Barcelona,Bayern,Juventus,PSG
,,Man City,Bayern,,PSG,Benfica,,Gent,Arsenal,Chelsea,Zenit,,Shakhtar,Villarreal,,,,,Palace,Liverpool,,Barcelona,Bayern,Juventus,PSG
,,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,,BARCELONA,JUVENTUS,,PSG,Monaco,,Man City,Dortmund,Shakhtar,Schalke,,SEVILLA,DNIPRO,,,,,ARSENAL,CHELSEA,,Barcelona,Bayern,Juventus,PSG
,,Bayern,Madrid,,Porto,Atleti,,Chelsea,Arsenal,Basel,Leverkusen,,Fiorentina,Napoli,,,,,Aston Villa,Tottenham,,Barcelona,Wolfsburg,Juventus,PSG
,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,,MADRID,ATLETI,,Dortmund,Barcelona,,Schalke,Man City,Arsenal,Galatasaray,,SEVILLA,BENFICA,,,,,ARSENAL,MAN CITY,,Atleti,Bayern,Juventus,PSG
,,Bayern,Chelsea,,Man United,PSG,,Zenit,AC Milan,Olympiacos,Leverkusen,,Valencia,Juventus,,,,,Hull City,Sunderland,,Madrid,Bayern,Napoli,Guingamp
