BIG TEN COMBINED,,CHAMPS,NCAA,CFB,CBB,Value,SP+,KP,HKY,CWS,,NCAA COMBINED,,CHAMPS,CFB,CBB,Value,SP+,KP,ADDTL,Conf,Rank,,NCAA COMBINED,,CHAMPS,CFB,CBB,Value,SP+,KP,ADDTL,Conf,Rank
10,Oklahoma,,12,34,82.49713023,6,33,13,SEC,5,,60,Vanderbilt,,49,69,46.258766,67,65,6,SEC,16,,110,Navy,,77,160,-10.28607525,78,157,182,,
11,Baylor,1,29,17,81.99385435,35,8,120,BIG XII,2,,61,Maryland,,83,38,46.02266743,64,39,51,B1G,14,,111,Coastal Carolina,,68,171,-10.29459691,82,170,9,,
12,Auburn,,36,13,81.04545015,23,12,23,SEC,6,,62,Pittsburgh,,37,87,44.7669843,30,78,224,ACC,11,,112,Middle Tennessee,,110,121,-10.88509377,107,123,220,,
13,Houston,,47,4,81.04043747,44,1,130,BIG XII,3,,63,Florida Atlantic,,100,29,43.26968859,96,99,103,,,,113,Boston College,,97,143,-13.63055357,92,115,9,ACC,17
14,Ohio State,1,3,52,79.34263358,3,29,19,B1G,3,,64,Central Florida,,45,81,43.06015742,42,71,100,BIG XII,15,,114,Georgia State,,106,133,-14.10776327,103,156,212,,
15,Arizona,,44,11,78.51804316,72,5,31,BIG XII,4,,65,Nebraska,,76,53,40.91070862,45,56,52,B1G,15,,115,Western Michigan,,69,179,-14.46266284,88,179,4,,
16,Michigan State,,38,19,76.82274565,48,11,16,B1G,4,,66,Northwestern,,60,70,39.74324912,77,53,223,B1G,16,,116,Kent State,,121,117,-14.74638215,120,113,178,,
17,Indiana,1,7,55,75.75754534,46,38,56,B1G,5,,67,Oregon State,,43,94,38.26049033,63,125,12,PAC-12,4,,117,Army,,72,181,-17.01864238,85,181,52,,
18,Iowa,,27,32,75.12343788,19,30,94,B1G,6,,68,Virginia Tech,,73,62,37.29253661,70,49,88,ACC,12,,118,Louisiana Tech,,104,142,-17.03819189,100,105,57,,
19,North Carolina,1,58,6,74.96403382,51,16,20,ACC,3,,69,Colorado,,63,73,36.72259169,101,55,,BIG XII,16,,119,San Jose State,,89,163,-18.27482672,110,162,150,,
20,Texas A&M,,21,41,74.36902551,9,45,8,SEC,7,,70,Creighton,,,26,33.2041725,150,25,102,BIG EAST,3,,120,East Carolina,,94,158,-18.75855303,87,150,32,,
21,Texas Christian,,15,49,74.06525546,25,35,11,BIG XII,5,,71,Washington State,,55,91,33.01870244,53,92,239,PAC-12,5,,121,Butler,,,79,-19.95759261,150,79,205,BIG EAST,9
22,North Carolina State,,39,24,73.5930584,36,66,17,ACC,4,,72,Utah State,,96,51,32.97559315,90,41,,PAC-12,6,,122,UTSA,,84,174,-20.47390134,86,173,87,,
23,Wisconsin,,28,35,73.2276321,16,15,13,B1G,7,,73,Minnesota,,54,99,29.98100181,22,83,6,B1G,17,,123,Air Force,,86,172,-20.66438435,68,171,31,,
24,Notre Dame,,6,64,72.24313626,8,87,17,IND,1,,74,Wake Forest,,51,109,27.11573842,52,69,18,ACC,13,,124,South Alabama,,105,150,-21.21227314,102,130,95,,
25,Iowa State,,40,27,71.5157925,27,19,,BIG XII,6,,75,Liberty,,65,95,25.68060027,91,93,75,,,,125,Old Dominion,,107,148,-21.42431067,104,151,145,,
