,Rank,Value,val,5 Yr Avg,Prior 5 Yr,'2025,'2024,'2023,'2022,'2021,'2019,'2018,'2017,'2016,'2015,'2014,'2013,'2012
Kent State,,,,,,,,,,,,0.5,,,,0.5,,5
Kentucky,,,,,,0.5,5,1,,,,,1,,,0.5,,0.5
Lehigh,,,,,,,,,,,,,,,0.5,,,
Liberty,,,,,,,,,0.5,0.5,0.5,,,,,0.5,0.5,
Lipscomb,,,,,,,,0.5,,,,,,,0.5,,,
Little Rock,,,,,,0.5,,,,,,,,,,,,
Long Beach State,,,,,,,,,,,,,1,0.5,,0.5,,
Long Island,,,,,,,0.5,,0.5,,,0.5,,,,,,
Louisiana,,,,,,,0.5,0.5,0.5,,,,,0.5,1,1,0.5,
Louisiana Monroe,,,,,,,,,,,,,,,,,,0.5
Louisiana State,,,,,,30,0.5,30,0.5,1,1,0.5,15,1,5,0.5,3,1
Louisiana Tech,,,,,,,0.5,,0.5,0.5,,,,0.5,,,,
Louisville,,,,,,10,,,1,,10,0.5,5,1,1,3,3,0.5
Loyola Marymount,,,,,,,,,,,0.5,,,,,,,
Maine,,,,,,,,0.5,,,,,,,,,,
Manhattan,,,,,,,,,,,,,,,,,,0.5
Marist,,,,,,,,,,,,,0.5,,,,,
Marshall,,,,,,,,,,,,,,,,,,
Maryland,,,,,,,,0.5,0.5,0.5,,,0.5,,1,1,,
McNeese State,,,,,,,,,,0.5,0.5,,,,,,,
Memphis,,,,,,,,,,,,,,,,,,
Mercer,,,,,,,,,,,0.5,,,,0.5,,0.5,
Miami,,,,,,1,,0.5,0.5,0.5,0.5,,,3,5,0.5,0.5,0.5
Miami OH,,,,,,0.5,,,,,,,,,,,,
Michigan,,,,,,,,,0.5,0.5,15,,0.5,,0.5,,,
Michigan State,,,,,,,,,,,,,,,,,,0.5
Middle Tennessee,,,,,,,,,,,,,,,,,,
Minnesota,,,,,,,,,,,,1,,0.5,,,,
Mississippi State,,,,,,0.5,0.5,,,30,5,10,1,1,,0.5,15,0.5
Missouri,,,,,,,,,,,,,,,,,,0.5
Missouri State,,,,,,,,,0.5,,,0.5,1,,1,,,0.5
Morehead State,,,,,,,,,,,,0.5,,,0.5,,,
Murray State,,,,,,3,,,,,,,,,,,,
Navy,,,,,,,,,,,,,,0.5,,,,
Nebraska,,,,,,0.5,0.5,,,0.5,0.5,,0.5,0.5,,0.5,,
Nevada,,,,,,,,,,0.5,,,,,,,,
New Mexico,,,,,,,,,,,,,,0.5,,,0.5,0.5
New Mexico State,,,,,,,,,0.5,,,0.5,,,,,,0.5
Niagara,,,,,,,0.5,,,,,,,,,,,
Nicholls State,,,,,,,0.5,0.5,,,,,,,,,,
NJIT,,,,,,,,,,0.5,,,,,,,,
Norfolk State,,,,,,,,,,0.5,,,,,,,,
North Carolina,,,,,,1,5,0.5,1,0.5,1,5,0.5,,,0.5,10,0.5
North Carolina A&T,,,,,,,,,,,,0.5,,,,,,
North Carolina State,,,,,,0.5,3,0.5,,10,0.5,0.5,0.5,0.5,0.5,,5,1
North Dakota State,,,,,,0.5,,,,0.5,,,,,,0.5,,
Northeastern,,,,,,0.5,,0.5,,0.5,,0.5,,,,,,
Northern Illinois,,,,,,,,,,,,,,,,,,
Northern Kentucky,,,,,,,0.5,,,,,,,,,,,
Northwestern,,,,,,,,,,,,,,,,,,
Northwestern State,,,,,,,,,,,,0.5,,,,,,
Notre Dame,,,,,,,,,5,1,,,,,0.5,,,
Ohio,,,,,,,,,,,,,0.5,,0.5,,,
Ohio State,,,,,,,,,,,0.5,0.5,,0.5,,,,
