season,name,value
2026,Washington,11
2026,UCLA,1
2026,Southern California,3
2026,Rutgers,10
2026,Purdue,5
2026,Penn State,14
2026,Outright Champion,UCLA
2026,Oregon,3
2026,Ohio State,5
2026,Northwestern,17
2026,Nebraska,2
2026,Minnesota,12
2026,Michigan State,12
2026,Michigan,7
2026,Maryland,14
2026,Iowa,8
2026,Indiana,14
2026,Illinois,9
2026,B1G Tournament,UCLA
