season,name,value
2025,UNITED STATES,15
2025,Trinidad and Tobago,1
2025,Suriname,1
2025,Runner-Up,USA
2025,Panama,3
2025,Mexico,30
2025,Jamaica,1
2025,Honduras,5
2025,Haiti,1
2025,Guatemala,5
2025,Guadeloupe,1
2025,Gold Cup,MEX
2025,El Salvador,1
2025,Curacao,1
2025,Costa Rica,3
2025,Canada,3
2025,#row2,Gold
